user_id,movie_title
1,Jumanji (1995)
1,Heat (1995)
1,Sudden Death (1995)
1,Balto (1995)
1,Casino (1995)
2,Toy Story (1995)
2,Father of the Bride Part II (1995)
2,Sabrina (1995)
2,GoldenEye (1995)
2,Balto (1995)
4,Leaving Las Vegas (1995)
4,Persuasion (1995)
4,Dead Man Walking (1995)
4,"Cry, the Beloved Country (1995)"
4,Restoration (1995)
5,Dead Man Walking (1995)
5,Clueless (1995)
5,To Die For (1995)
5,"Usual Suspects, The (1995)"
5,Georgia (1995)
5,Three Colors: White (Trzy kolory: Bialy) (1994)
5,Stuart Saves His Family (1995)
5,"Santa Clause, The (1994)"
5,Strawberry and Chocolate (Fresa y chocolate) (1993)
5,"Sum of Us, The (1994)"
6,Sabrina (1995)
6,GoldenEye (1995)
6,Dracula: Dead and Loving It (1995)
6,Casino (1995)
6,Get Shorty (1995)
7,Toy Story (1995)
7,Sabrina (1995)
7,Sense and Sensibility (1995)
7,Pocahontas (1995)
7,"Misérables, Les (1995)"
7,Mighty Morphin Power Rangers: The Movie (1995)
8,Waiting to Exhale (1995)
8,Grumpier Old Men (1995)
8,Sabrina (1995)
8,Sudden Death (1995)
8,Father of the Bride Part II (1995)
9,Tangled
9,The Amazing Spider-Man
9,The Da Vinci Code
9,Ice Age: Continental Drift
9,Dr. Dolittle 2
10,The Fault in Our Stars
10,Avatar
10,Tangled
10,Mean Girls
10,Kung Fu Panda 3
7,Spider-Man 3
7,Titanic
7,A Christmas Carol
7,Inside Out
7,Angels & Demons
7,Thor
7,Sherlock Holmes: A Game of Shadows
