user_id,movieId,title
1,2,Jumanji (1995)
1,5,Father of the Bride Part II (1995)
1,3,Grumpier Old Men (1995)
1,49530,Blood Diamond (2006)
1,6,Heat (1995)
1,36529,Lord of War (2005)
4,28,Persuasion (1995)
5,5127,Dragonfly (2002)
5,27674,11:14 (2003)
5,6885,In the Cut (2003)
5,120138,PK (2014)
6,5628,Wasabi (2001)
9,14043,Nancy Drew
9,137106,The Lego Movie
9,812,Aladdin
10,812,Aladdin
10,82702,How to Train Your Dragon 2
10,62177,Brave
10,13,Forrest Gump
8,49519,The Croods
8,2493,The Princess Bride
8,137106,The Lego Movie
10,51162,Winnie the Pooh
10,49444,Kung Fu Panda 2
7,809,Shrek 2
7,291805,Now You See Me 2
7,812,Aladdin
7,11904,Young Sherlock Holmes
10,102651,Maleficent
10,9603,Clueless
10,215211,Grace of Monaco
